"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","OB_3m3","OB_3m2","OB_3m1","OB_12m1","OB_12m3","OB_29m3","OB_29m2","OB_29m1"
"Gbp3",366.757106027949,-1.30871624163442,0.163582249202381,-8.0003560778486,2.22044604925031e-16,3.65774077693004e-12,244.259506310323,238.716883811693,325.225280654459,232.546125265621,218.793609270069,621.897779230028,505.708622323044,546.909041358354
"B2m",940.866662508647,-0.920117653473455,0.126602533783309,-7.26776649706172,1.11022302462516e-14,9.1443519423251e-11,870.174491230527,692.278963053909,797.03096949121,731.11777904522,615.35702607207,1284.25064358854,1316.79161615593,1219.93181143176
"Ifit1",239.175429748306,-1.40512916090764,0.195095436442289,-7.20226565280677,1.93178806284777e-14,1.06074482530971e-10,135.869350385117,142.434407340977,113.599816341276,180.064898551979,125.80632533029,426.761486257341,328.11501619675,460.752137582723
"C4b",1004.64030081594,-1.01911478254948,0.143118039200368,-7.12079894500724,3.75255382323303e-14,1.54539547825294e-10,467.146305818494,537.908711522348,612.889331712206,777.265064603767,811.359634376507,1454.00335373551,1915.62859291106,1460.92141184766
"Ifit3",430.105486487368,-1.3712834454187,0.199979352375884,-6.85712514380594,3.12416759129519e-13,1.02928825462811e-09,291.584785657949,267.362909869096,381.109061273958,279.59825956061,233.379849888074,821.000257019234,477.553538424973,689.255230205048
"Gbp6",211.485352458003,-1.13009378397073,0.181138003429689,-6.23885525165008,3.31861205182804e-11,9.11124938829388e-08,119.076509326283,140.04723850286,164.902959205078,166.492167505347,129.452885484791,329.986576734301,301.042820140913,340.881662764453
"Parp14",251.90103550788,-1.00557044673565,0.16493436160096,-6.09679169928526,9.13082942588517e-11,2.14874504475152e-07,207.620580363775,194.15639883351,163.070704102799,199.971570753705,161.360286836676,356.16339652332,359.518763621521,373.346583027735
"Ifi44",38.4189923453651,-2.22541113248874,0.392049647635795,-5.6763502936651,1.60180002595212e-09,3.29830647843865e-06,15.2662191443952,23.0759654351303,21.0709336762044,11.7630335737474,19.1444408111311,74.5642745505391,56.3101677961419,86.1569037756311
"Stat1",823.783713776363,-0.743302798665807,0.133770068616297,-5.55657036252166,3.49566842139382e-09,6.05419706694033e-06,674.766886182269,736.839448032092,722.824637848925,732.022627781662,536.955982750295,1077.2157961663,1007.08569327715,1102.55863817221
"Iigp1",78.41054717288,-1.7152124049526,0.309114201810647,-5.54879845347024,3.67522434707723e-09,6.05419706694033e-06,50.3785231765042,78.7765716578586,67.7934387843098,44.3375880856631,28.260841197384,131.677335908399,81.2165881675124,144.843490405409
"Tgtp2",70.5306360682835,-1.63466051601233,0.301483727642363,-5.42205222416335,8.24078849603893e-09,1.23409553541136e-05,47.3252793476252,37.3989784638319,61.3805459263346,42.5278906127789,30.9957613132598,95.9816725597365,105.040120696649,143.594839626052
