"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","OB_3m3","OB_3m2","OB_3m1","OB_12m1","OB_12m3","OB_29m3","OB_29m2","OB_29m1"
"Prokr2",170.260016958827,-1.57144795646056,0.187076490464883,-8.40002906060257,4.46368159792665e-17,4.64446070264268e-13,360.282771807727,330.225022606175,288.580178608886,115.820638264589,103.015324364658,56.3198243945561,54.1443921116749,53.6919835123498
"BC061194",97.386494181546,2.29905796222095,0.2852455251231,8.05992648343483,7.63403462051954e-16,3.97160651132529e-12,25.9525725454719,22.2802424890913,13.7419132670898,88.6751761713262,109.396804635035,172.132421036883,180.842269652994,166.070553654477
"Pcdhb2",157.290457599029,1.07676165843008,0.196027650175397,5.49290703360795,3.95370945566256e-08,0.000137127822953897,85.4908272086132,89.1209699563653,74.2063316422851,189.1133859164,160.448646798051,205.448373495634,228.489334711268,226.005791063612
"Fabp7",2797.33279784844,-0.668613296553527,0.129620039055961,-5.1582556325636,2.49261152627128e-07,0.000648390573271317,3280.71049413053,3426.38300564383,4160.13520972366,2439.47219344791,2120.47472984242,2136.98037913992,2179.85322641603,2634.65314444321
"Unc13c",621.234893704841,-0.612312605523322,0.132965558455266,-4.60504669507574,4.12373319702622e-06,0.00858148878301156,835.062187198418,852.219275207743,802.527734798046,615.297140780631,470.406259930649,443.419462486717,460.227332949237,490.71975628729
"Oprd1",382.883867970734,0.631323611738503,0.138774853978137,4.5492651848725,5.38335677534349e-06,0.00933563787457483,254.9458597114,287.25598352007,288.580178608886,399.94314150741,462.201499583021,458.490964789485,455.895781580303,455.757534465295
"Vcan",832.595923521799,-0.574010912022165,0.128468405374296,-4.46810957409934,7.89138831689262e-06,0.0102637369296585,1170.91900837511,1068.65591653034,926.204954201854,758.263241138483,656.380827810208,659.973153468601,729.866405665378,690.503880984405
"D0H4S114",674.339793149726,-0.52017269244948,0.116161202366208,-4.47802434766121,7.53370107937402e-06,0.0102637369296585,766.36420104864,843.466322801315,846.501857252733,574.578947640736,569.775024140805,584.615641954759,582.593659121622,626.8226912372
"Prrt1",547.016219453017,0.687311177271886,0.157626902489121,4.36036721155085,1.29844358626812e-05,0.0150114505723553,392.341832010957,500.509733058516,450.734755160546,594.485619842462,854.206716191896,558.43882216574,528.449267009947,496.963010184075
"Sox11",754.673825585618,-0.585724747359212,0.135313679320188,-4.32864400925225,1.50030216098768e-05,0.0156106439850768,1189.23847134839,907.919881430472,933.533974610969,710.306258107052,630.8549067287,534.641713266632,549.024136012384,581.871263180349
"Tfrc",1647.40380710445,-0.556026434660024,0.129324108334918,-4.29948013420709,1.71199220173013e-05,0.01619388987182,2279.24651825821,1935.99392771283,1854.24216350599,1501.14405375745,1247.12357283939,1482.55988441444,1291.88519578456,1587.03514056271
"Dcx",3549.81747047054,-0.469942831064407,0.11046769530761,-4.25411999187454,2.09872743194028e-05,0.0181977157744488,4778.3265921957,4497.42609101229,4004.39352602998,3385.03912302991,3003.85392727033,2727.1486798378,2870.735669761,3131.61615462729
"Eng",224.28812313958,0.68026804226055,0.161239699504233,4.21898604594394,2.45403459211419e-05,0.0196417153314986,166.401788673908,179.833385804809,174.98036226761,272.359469669073,286.254972128341,227.659008468135,262.058857820507,224.757140284255
"Col3a1",97.8336048969344,-1.00171124912418,0.244418870464838,-4.0983384270581,4.16126558815586e-05,0.0309271203176869,123.656375069601,148.800190909289,137.419132670898,64.2442602873894,72.9312030900231,59.4927722477706,97.4599058010149,78.6649990994892
"Cd24a",333.994081045103,-0.619718676428482,0.152450644201946,-4.06504465542017,4.80232662819142e-05,0.0319154020850813,503.785231765042,424.120330238774,429.663821484342,327.555242592042,258.905770969582,231.625193284653,249.064203713705,247.23285431268
